Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age Number,Age Unit,Grouped Sex upon Outcome
A751921,*Amabella,2017-07-08 16:42:00,Jul 2017,2017-04-15,Adoption,Cat,Spayed Female,84,Domestic Shorthair Mix,Brown Tabby/White,2,30.0,Fixed
A773945,G,2018-06-18 15:11:00,Jun 2018,2011-06-07,Return to Owner,Dog,Intact Male,2568,Pit Bull Mix,Gray/White,7,365.0,Intact
A679794,Bella,2014-05-26 17:54:00,May 2014,2009-05-26,Return to Owner,Dog,Spayed Female,1826,Shetland Sheepdog Mix,Sable/White,5,365.0,Fixed
A760590,Emmie Loo,2017-10-21 13:01:00,Oct 2017,2016-10-20,Adoption,Dog,Spayed Female,366,Miniature Pinscher Mix,Black/Brown,1,365.0,Fixed
A841258,104 Grams,2021-08-24 16:38:00,Aug 2021,2021-08-23,Transfer,Cat,Unknown,1,Domestic Shorthair,Black/White,1,1.0,Unknown
A738798,Blancanieves,2016-11-21 00:00:00,Nov 2016,2014-11-21,Return to Owner,Dog,Intact Female,731,Chihuahua Shorthair Mix,Tan,2,365.0,Intact
A836500,Bili,2021-06-22 17:09:00,Jun 2021,2019-06-11,Adoption,Cat,Spayed Female,742,Domestic Shorthair,Orange Tabby,2,365.0,Fixed
A736269,Chulo,2016-11-10 22:27:00,Nov 2016,2006-10-08,Transfer,Cat,Intact Female,3686,Domestic Shorthair Mix,Black,10,365.0,Intact
A704607,Midnight,2015-06-07 14:58:00,Jun 2015,2000-06-07,Return to Owner,Dog,Spayed Female,5478,Pembroke Welsh Corgi Mix,Black,15,365.0,Fixed
A767537,Georgie,2018-03-03 13:13:00,Mar 2018,2017-12-03,Return to Owner,Dog,Intact Male,90,Pit Bull Mix,Tan/White,2,30.0,Intact
A766556,*Willie,2018-03-11 13:43:00,Mar 2018,2016-02-11,Adoption,Dog,Neutered Male,759,Jack Russell Terrier Mix,Tan/White,2,365.0,Fixed
A672204,Zeus,2014-02-10 17:37:00,Feb 2014,2013-02-05,Return to Owner,Dog,Neutered Male,370,Pit Bull Mix,Brown Brindle/White,1,365.0,Fixed
A709641,Shiva,2015-08-12 12:53:00,Aug 2015,2007-08-11,Return to Owner,Cat,Neutered Male,2923,Bengal Mix,Brown Tabby,8,365.0,Fixed
A738790,Winston,2016-11-21 12:32:00,Nov 2016,2005-09-05,Return to Owner,Dog,Neutered Male,4095,West Highland Mix,White,11,365.0,Fixed
A777721,*Seraph,2018-08-14 13:13:00,Aug 2018,2018-01-02,Transfer,Dog,Intact Female,224,Pit Bull Mix,Brown Brindle/White,7,30.0,Intact
A694501,Penelope,2015-02-07 15:08:00,Feb 2015,2014-06-30,Return to Owner,Dog,Spayed Female,222,Labrador Retriever Mix,Black/White,7,30.0,Fixed
A776906,Buddy,2018-07-30 19:02:00,Jul 2018,2011-07-20,Adoption,Cat,Neutered Male,2567,Domestic Shorthair Mix,Brown Tabby/White,7,365.0,Fixed
A774466,*Mango,2018-07-31 07:25:00,Jul 2018,2018-05-05,Adoption,Cat,Neutered Male,87,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A746812,Beaux Danger,2017-04-13 18:40:00,Apr 2017,2016-10-31,Adoption,Dog,Spayed Female,164,Pit Bull Mix,Tan/White,5,30.0,Fixed
A823447,*Afina,2020-11-03 18:05:00,Nov 2020,2020-06-12,Adoption,Cat,Spayed Female,144,Domestic Shorthair,Blue,4,30.0,Fixed
A734952,Dutch,2016-09-25 11:06:00,Sep 2016,2013-09-25,Return to Owner,Dog,Intact Male,1096,Mastiff Mix,Brown,3,365.0,Intact
A740897,*Nelson,2017-01-02 18:47:00,Jan 2017,2015-12-24,Adoption,Dog,Neutered Male,375,Pit Bull Mix,Brown Brindle,1,365.0,Fixed
A741622,*Louisa,2017-01-16 13:34:00,Jan 2017,2016-01-05,Transfer,Cat,Spayed Female,377,Domestic Shorthair Mix,Tortie,1,365.0,Fixed
A713597,Oso,2015-10-09 19:02:00,Oct 2015,2013-10-09,Return to Owner,Dog,Intact Male,730,Chihuahua Shorthair Mix,Tan,2,365.0,Intact
A783960,Hank,2019-01-11 18:05:00,Jan 2019,2017-11-09,Adoption,Dog,Neutered Male,428,Pointer/Boxer,White/Tan,1,365.0,Fixed
A793966,Jiji,2019-06-08 14:40:00,Jun 2019,2019-04-04,Adoption,Cat,Spayed Female,65,Domestic Shorthair Mix,Black,2,30.0,Fixed
A820187,*Tony,2020-07-21 11:08:00,Jul 2020,2020-05-14,Transfer,Cat,Intact Male,68,Domestic Shorthair,Gray,2,30.0,Intact
A686140,*Huggy Bear,2014-08-21 18:47:00,Aug 2014,2013-10-17,Adoption,Dog,Spayed Female,308,German Shepherd/Border Collie,Black/White,10,30.0,Fixed
A759913,Austin,2017-10-10 15:37:00,Oct 2017,2015-04-09,Transfer,Dog,Neutered Male,915,St. Bernard Rough Coat Mix,White/Black,2,365.0,Fixed
A664045,*Rudy,2013-10-05 19:20:00,Oct 2013,2011-09-28,Adoption,Dog,Neutered Male,738,Affenpinscher Mix,Black/White,2,365.0,Fixed
A758462,*Angelo,2017-09-29 14:21:00,Sep 2017,2017-01-17,Transfer,Dog,Neutered Male,255,Basset Hound/Great Pyrenees,White/Brown,8,30.0,Fixed
A680914,*Chino,2015-03-09 17:25:00,Mar 2015,2012-06-09,Transfer,Dog,Neutered Male,1003,Pit Bull Mix,Brown/White,2,365.0,Fixed
A791636,Emma,2019-04-01 11:44:00,Apr 2019,2014-03-28,Transfer,Dog,Intact Female,1830,Shih Tzu Mix,White/Tan,5,365.0,Intact
A799459,*Remi,2019-07-22 14:36:00,Jul 2019,2009-07-09,Adoption,Dog,Neutered Male,3665,Papillon/Chihuahua Longhair,Brown/White,10,365.0,Fixed
A840739,195 Grams,2021-08-12 18:58:00,Aug 2021,2021-08-02,Transfer,Cat,Intact Female,10,Domestic Shorthair,White/Black,1,7.0,Intact
A786880,Reggie,2019-01-16 17:04:00,Jan 2019,2017-01-03,Adoption,Dog,Neutered Male,743,Australian Cattle Dog Mix,Brown,2,365.0,Fixed
A667232,*Sadie,2013-12-09 17:50:00,Dec 2013,2013-09-30,Adoption,Dog,Spayed Female,70,Australian Shepherd Mix,White/Black,2,30.0,Fixed
A680715,*Roxie,2014-12-23 13:38:00,Dec 2014,2012-06-06,Transfer,Dog,Spayed Female,930,Pit Bull Mix,Red/White,2,365.0,Fixed
A703972,Kaya,2015-05-31 18:59:00,May 2015,2012-05-31,Return to Owner,Dog,Spayed Female,1095,American Staffordshire Terrier Mix,Fawn/White,3,365.0,Fixed
A734472,Marshall,2016-10-02 13:01:00,Oct 2016,2015-09-07,Transfer,Dog,Neutered Male,391,Chihuahua Shorthair Mix,Tan/White,1,365.0,Fixed
A672142,Toby,2014-02-08 10:14:00,Feb 2014,2009-02-04,Transfer,Dog,Intact Male,1830,Pekingese,Red/White,5,365.0,Intact
A732788,*Dart,2016-09-08 22:15:00,Sep 2016,2014-08-13,Transfer,Cat,Neutered Male,757,Domestic Shorthair Mix,Black/White,2,365.0,Fixed
A747064,Zuzu,2017-04-17 11:57:00,Apr 2017,2014-04-13,Adoption,Cat,Spayed Female,1100,Domestic Shorthair Mix,Black/White,3,365.0,Fixed
A792955,*Brioche,2019-07-03 17:00:00,Jul 2019,2019-03-17,Adoption,Cat,Spayed Female,108,Domestic Shorthair Mix,Tortie,3,30.0,Fixed
A442798,Boe,2015-04-29 14:46:00,Apr 2015,2005-10-13,Adoption,Dog,Spayed Female,3485,Rat Terrier Mix,White/Tricolor,9,365.0,Fixed
A808668,*Viktor,2019-11-25 15:35:00,Nov 2019,2017-11-11,Adoption,Dog,Neutered Male,744,Miniature Schnauzer Mix,Black/Gray,2,365.0,Fixed
A753994,*Max,2017-08-25 12:33:00,Aug 2017,2016-07-14,Transfer,Dog,Neutered Male,407,Plott Hound Mix,Brown Brindle/White,1,365.0,Fixed
A801413,Mr. Mick,2019-08-04 11:53:00,Aug 2019,2018-11-04,Return to Owner,Dog,Neutered Male,273,Labrador Retriever,Black,8,30.0,Fixed
A694279,Sage,2017-10-07 18:11:00,Oct 2017,2009-09-18,Adoption,Dog,Spayed Female,2941,Boxer Mix,Brown,8,365.0,Fixed
A777131,Shelby,2018-07-30 16:28:00,Jul 2018,2011-04-25,Adoption,Dog,Spayed Female,2653,Yorkshire Terrier Mix,Tan/Silver,7,365.0,Fixed
A833537,Cooper,2021-09-20 13:12:00,Sep 2021,2016-05-01,Adoption,Dog,Neutered Male,1968,German Shepherd,Black/Brown,5,365.0,Fixed
A743524,Apollo,2017-02-12 15:57:00,Feb 2017,2016-08-12,Adoption,Dog,Neutered Male,184,Pit Bull Mix,White/Tan,6,30.0,Fixed
A736639,Oprah,2016-11-12 15:38:00,Nov 2016,2015-04-28,Return to Owner,Dog,Spayed Female,564,Labrador Retriever Mix,Tan,1,365.0,Fixed
A692188,*Turkey,2014-12-23 12:18:00,Dec 2014,2014-10-09,Adoption,Cat,Spayed Female,75,Domestic Shorthair Mix,Calico,2,30.0,Fixed
A807129,*Mario,2019-11-30 18:23:00,Nov 2019,2019-09-17,Adoption,Cat,Neutered Male,74,Domestic Medium Hair,Orange Tabby/White,2,30.0,Fixed
A756160,Baxter,2017-08-23 18:42:00,Aug 2017,2013-08-15,Adoption,Cat,Neutered Male,1469,Domestic Shorthair Mix,Gray Tabby,4,365.0,Fixed
A696589,Louis,2015-02-15 18:16:00,Feb 2015,2014-02-07,Adoption,Dog,Neutered Male,373,Labrador Retriever Mix,Black,1,365.0,Fixed
A715903,*Allie,2015-11-17 18:40:00,Nov 2015,2015-02-12,Adoption,Dog,Spayed Female,278,Chihuahua Shorthair Mix,White/Black,9,30.0,Fixed
A739560,Beau,2021-10-10 14:45:00,Oct 2021,2015-12-04,Return to Owner,Dog,Neutered Male,2137,Pointer Mix,Brown Brindle/White,5,365.0,Fixed
A728117,*Julia Child,2016-06-08 12:18:00,Jun 2016,2016-05-01,Transfer,Cat,Intact Female,38,Domestic Shorthair Mix,Tortie,1,30.0,Intact
A792205,*Kaizer,2019-04-15 11:40:00,Apr 2019,2017-04-07,Adoption,Dog,Neutered Male,738,Siberian Husky,Gray/White,2,365.0,Fixed
A748161,Sunny,2017-05-02 11:53:00,May 2017,2013-04-30,Return to Owner,Dog,Intact Male,1463,Chihuahua Shorthair Mix,Tan/White,4,365.0,Intact
A551371,Desi,2018-04-28 15:59:00,Apr 2018,2006-08-04,Return to Owner,Dog,Neutered Male,4285,Boston Terrier,Black/White,11,365.0,Fixed
A829140,*Twix,2021-02-06 12:22:00,Feb 2021,2020-11-26,Return to Owner,Dog,Intact Male,72,Pit Bull Mix,Brown Brindle/White,2,30.0,Intact
A696480,Ellie,2015-02-13 13:14:00,Feb 2015,2014-08-21,Adoption,Dog,Spayed Female,176,German Shepherd Mix,Tan/Black,5,30.0,Fixed
A766391,Ginger,2018-09-05 16:36:00,Sep 2018,2016-02-08,Rto-Adopt,Dog,Spayed Female,940,Chihuahua Shorthair Mix,Tan/White,2,365.0,Fixed
A759147,Betty,2017-09-28 18:18:00,Sep 2017,2015-09-27,Return to Owner,Cat,Intact Female,732,Domestic Shorthair Mix,White/Brown Tabby,2,365.0,Intact
A782563,*Batty,2018-10-23 18:24:00,Oct 2018,2017-10-17,Adoption,Dog,Spayed Female,371,Pit Bull Mix,Black/White,1,365.0,Fixed
A699027,Meow,2015-04-11 16:02:00,Apr 2015,2005-03-29,Adoption,Cat,Spayed Female,3665,Domestic Shorthair Mix,Black/White,10,365.0,Fixed
A674687,Pascal,2014-03-19 15:17:00,Mar 2014,2013-11-16,Transfer,Cat,Intact Male,123,Siamese Mix,Lilac Point,4,30.0,Intact
A839308,Cocoa,2021-09-04 16:40:00,Sep 2021,2021-03-20,Adoption,Dog,Spayed Female,168,Labrador Retriever Mix,Chocolate/White,5,30.0,Fixed
A759467,Yeyo,2021-03-29 18:13:00,Mar 2021,2015-10-02,Return to Owner,Dog,Neutered Male,2005,Pit Bull Mix,White,5,365.0,Fixed
A669665,Zoey,2014-01-28 14:41:00,Jan 2014,2013-11-05,Adoption,Dog,Spayed Female,84,Australian Shepherd/Labrador Retriever,Brown/White,2,30.0,Fixed
A694987,Sophia,2015-01-18 17:44:00,Jan 2015,2014-01-07,Return to Owner,Cat,Spayed Female,376,Domestic Shorthair Mix,Black,1,365.0,Fixed
A839011,Benedict,2021-07-20 17:03:00,Jul 2021,2020-07-15,Adoption,Dog,Neutered Male,370,Border Collie,Black/White,1,365.0,Fixed
A690147,Bruiser,2014-11-28 15:05:00,Nov 2014,2003-10-15,Euthanasia,Dog,Intact Male,4062,Pit Bull Mix,White/Brown,11,365.0,Intact
A495060,Lulu Belle,2016-11-20 11:41:00,Nov 2016,2007-10-03,Adoption,Dog,Spayed Female,3336,Border Collie Mix,White/Tricolor,9,365.0,Fixed
A769428,Colton,2019-09-17 13:06:00,Sep 2019,2014-04-05,Adoption,Dog,Neutered Male,1991,Chihuahua Shorthair Mix,Tan,5,365.0,Fixed
A683643,*Frannie,2014-08-27 15:20:00,Aug 2014,2014-06-13,Adoption,Dog,Spayed Female,75,Border Collie Mix,Brown/White,2,30.0,Fixed
A702664,*Trixie,2015-08-27 12:38:00,Aug 2015,2015-04-17,Missing,Cat,Intact Female,132,Domestic Shorthair Mix,Brown Tabby,4,30.0,Intact
A832952,A832952,2021-06-15 17:47:00,Jun 2021,2021-03-08,Adoption,Cat,Neutered Male,99,Domestic Shorthair,Blue,3,30.0,Fixed
A749083,Joey,2017-05-16 14:46:00,May 2017,2013-05-10,Rto-Adopt,Cat,Neutered Male,1467,Domestic Shorthair Mix,Brown Tabby,4,365.0,Fixed
A811989,Letti,2020-01-31 11:16:00,Jan 2020,2017-01-13,Return to Owner,Dog,Intact Female,1113,Pit Bull,Brown Brindle/White,3,365.0,Intact
A699834,Keller,2015-04-09 15:30:00,Apr 2015,2013-04-03,Return to Owner,Dog,Spayed Female,736,Australian Shepherd,Red Merle,2,365.0,Fixed
A662820,*Indigo,2013-10-04 12:54:00,Oct 2013,2013-07-18,Adoption,Cat,Spayed Female,78,Domestic Shorthair Mix,Black,2,30.0,Fixed
A726987,Tarley,2016-06-29 13:00:00,Jun 2016,2016-04-20,Adoption,Cat,Spayed Female,70,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A677843,*Feather,2014-05-25 10:48:00,May 2014,2012-10-30,Transfer,Dog,Intact Female,572,Siberian Husky Mix,White/Tan,1,365.0,Intact
A727781,Waldo,2016-12-17 12:25:00,Dec 2016,2015-05-25,Adoption,Dog,Neutered Male,572,Chihuahua Shorthair Mix,Tan,1,365.0,Fixed
A692493,Fat Boy,2014-11-22 18:09:00,Nov 2014,2014-09-21,Transfer,Dog,Neutered Male,62,Chihuahua Shorthair Mix,Cream,2,30.0,Fixed
A783439,Lucy,2018-12-07 15:56:00,Dec 2018,2018-06-15,Adoption,Dog,Spayed Female,175,Labrador Retriever Mix,White/Tricolor,5,30.0,Fixed
A723788,Reese,2016-09-30 12:46:00,Sep 2016,2014-04-07,Adoption,Dog,Spayed Female,907,Catahoula Mix,Brown Brindle/White,2,365.0,Fixed
A670664,*Riley,2014-03-23 15:52:00,Mar 2014,2012-01-11,Adoption,Dog,Spayed Female,802,Pit Bull Mix,Brown Brindle/White,2,365.0,Fixed
A681134,*Pringle,2014-06-30 12:45:00,Jun 2014,2014-04-13,Adoption,Cat,Neutered Male,78,Domestic Longhair Mix,White/Orange Tabby,2,30.0,Fixed
A713695,*Drake,2015-11-24 09:16:00,Nov 2015,2015-08-30,Adoption,Cat,Neutered Male,86,Domestic Shorthair Mix,Blue/White,2,30.0,Fixed
A831151,Kyno,2021-03-29 14:07:00,Mar 2021,2021-02-07,Transfer,Dog,Intact Male,50,Siberian Husky,Red/White,1,30.0,Intact
A769135,Gypsy,2018-05-10 16:44:00,May 2018,2010-03-30,Rto-Adopt,Dog,Spayed Female,2963,Pit Bull Mix,Brown/White,8,365.0,Fixed
A734098,*Trixie,2016-09-06 18:51:00,Sep 2016,2016-05-01,Adoption,Dog,Spayed Female,128,English Coonhound Mix,Black/White,4,30.0,Fixed
A789131,Cookie,2019-03-30 15:39:00,Mar 2019,2012-05-10,Transfer,Cat,Spayed Female,2515,Domestic Shorthair Mix,Black/White,6,365.0,Fixed
A670643,Hank,2014-01-26 12:44:00,Jan 2014,2012-01-11,Return to Owner,Dog,Neutered Male,746,Pointer Mix,Brown/White,2,365.0,Fixed
A773253,Asia,2018-06-12 13:27:00,Jun 2018,2015-05-29,Transfer,Dog,Spayed Female,1110,Pit Bull Mix,White/Brown Brindle,3,365.0,Fixed
A677133,Blue,2014-04-23 19:08:00,Apr 2014,2012-04-19,Adoption,Dog,Neutered Male,734,Pit Bull Mix,Blue/White,2,365.0,Fixed
A666218,*Tillie,2013-11-09 00:00:00,Nov 2013,2013-08-10,Transfer,Dog,Spayed Female,91,Collie Smooth Mix,White/Black,2,30.0,Fixed
A697263,Daisy,2015-10-18 17:24:00,Oct 2015,2014-11-20,Transfer,Dog,Spayed Female,332,Airedale Terrier Mix,Black/Brown,10,30.0,Fixed
A718396,Harry,2015-12-29 15:22:00,Dec 2015,2010-12-29,Return to Owner,Cat,Neutered Male,1826,Domestic Shorthair Mix,Black/White,5,365.0,Fixed
A715873,Bear,2016-03-02 14:31:00,Mar 2016,2015-09-11,Return to Owner,Dog,Neutered Male,173,Border Collie Mix,Black/White,5,30.0,Fixed
A718223,Bubba,2018-01-29 18:29:00,Jan 2018,2015-05-24,Rto-Adopt,Dog,Neutered Male,981,St. Bernard Rough Coat/Boxer,White/Brown,2,365.0,Fixed
A802410,Jenson,2019-09-22 12:09:00,Sep 2019,2019-03-17,Adoption,Cat,Neutered Male,189,Domestic Shorthair,Black,6,30.0,Fixed
A716005,Indio,2015-11-14 15:30:00,Nov 2015,2014-11-14,Return to Owner,Dog,Intact Male,365,Pit Bull Mix,Blue/White,1,365.0,Intact
A798568,Ron,2019-07-05 14:06:00,Jul 2019,2009-06-27,Transfer,Dog,Neutered Male,3660,Dachshund,Red,10,365.0,Fixed
A803798,Duke,2020-03-05 12:12:00,Mar 2020,2018-05-05,Adoption,Dog,Neutered Male,670,Staffordshire Mix,Blue/White,1,365.0,Fixed
A804318,*Brenda,2019-10-07 16:54:00,Oct 2019,2013-09-13,Adoption,Dog,Spayed Female,2215,Chihuahua Shorthair Mix,Brown,6,365.0,Fixed
A842381,Bino,2021-10-14 18:45:00,Oct 2021,2019-12-28,Adoption,Dog,Neutered Male,656,Pit Bull Mix,Black/White,1,365.0,Fixed
A731745,*Vincente,2016-08-17 14:35:00,Aug 2016,2016-04-27,Adoption,Cat,Neutered Male,112,Domestic Shorthair Mix,Black,3,30.0,Fixed
A688806,Doug,2014-10-07 17:53:00,Oct 2014,2013-04-24,Return to Owner,Dog,Neutered Male,531,Pit Bull Mix,Brown Brindle/White,1,365.0,Fixed
A742116,Palomo,2017-01-16 17:00:00,Jan 2017,2016-01-15,Return to Owner,Dog,Intact Male,367,Labrador Retriever Mix,Yellow,1,365.0,Intact
A686386,Shelby,2014-10-25 12:36:00,Oct 2014,2013-10-21,Transfer,Dog,Spayed Female,369,German Shepherd/Boxer,Brown/Black,1,365.0,Fixed
A783803,Bailey,2020-02-01 12:48:00,Feb 2020,2017-11-06,Adoption,Dog,Spayed Female,817,Flat Coat Retriever Mix,Black,2,365.0,Fixed
A813833,Archer,2020-03-04 11:56:00,Mar 2020,2015-10-19,Transfer,Dog,Neutered Male,1598,Catahoula Mix,Brown/White,4,365.0,Fixed
A790503,Mary,2019-04-07 18:01:00,Apr 2019,2007-03-11,Adoption,Cat,Spayed Female,4410,Domestic Shorthair Mix,White/Black,12,365.0,Fixed
A765169,Dottie,2018-01-15 13:48:00,Jan 2018,2016-01-14,Return to Owner,Cat,Intact Female,732,Domestic Medium Hair Mix,Tortie,2,365.0,Intact
A737273,Spice,2016-11-11 10:35:00,Nov 2016,2014-10-25,Transfer,Dog,Intact Female,748,Chihuahua Shorthair Mix,Brown/Black,2,365.0,Intact
A730665,*Farrah,2016-08-05 16:02:00,Aug 2016,2015-07-08,Transfer,Dog,Intact Female,394,Boxer Mix,Brown,1,365.0,Intact
A589649,Penny,2018-03-18 15:11:00,Mar 2018,2009-12-07,Adoption,Dog,Spayed Female,3023,Border Collie/Miniature Pinscher,Black/Brown,8,365.0,Fixed
A842062,A842062,2021-09-14 16:55:00,Sep 2021,2021-04-08,Adoption,Dog,Neutered Male,159,Border Collie Mix,White/Black,5,30.0,Fixed
A803015,*Papa Joe,2019-09-26 14:31:00,Sep 2019,2011-08-26,Transfer,Dog,Intact Male,2953,Chihuahua Shorthair,Black/White,8,365.0,Intact
A646917,Rocco,2013-10-14 11:57:00,Oct 2013,2012-02-01,Transfer,Dog,Neutered Male,621,Pit Bull Mix,Black/White,1,365.0,Fixed
A752773,Blue,2017-07-25 14:59:00,Jul 2017,2015-06-27,Transfer,Dog,Spayed Female,759,German Shepherd Mix,Tan/Black,2,365.0,Fixed
A723744,Chanela,2016-04-06 18:20:00,Apr 2016,2009-04-05,Return to Owner,Dog,Intact Female,2558,Chihuahua Shorthair Mix,Tan/Brown,7,365.0,Intact
A746677,Iris,2019-05-09 17:31:00,May 2019,2014-04-08,Return to Owner,Dog,Intact Female,1857,German Shepherd,Black/Brown,5,365.0,Intact
A697796,Pancha,2015-03-02 18:56:00,Mar 2015,2003-02-28,Return to Owner,Dog,Intact Female,4385,Chihuahua Shorthair Mix,Tan,12,365.0,Intact
A820349,Wyatt,2020-07-20 11:35:00,Jul 2020,2019-10-17,Transfer,Dog,Intact Male,277,Miniature Schnauzer Mix,Black/Brown,9,30.0,Intact
A750085,Chloe,2017-09-04 00:00:00,Sep 2017,2017-04-23,Transfer,Dog,Intact Female,134,Catahoula Mix,White/Brown,4,30.0,Intact
A715029,Rex,2018-08-30 12:21:00,Aug 2018,2014-10-30,Return to Owner,Dog,Neutered Male,1400,German Shepherd Mix,Black/Brown,3,365.0,Fixed
A784764,*Abby,2019-06-28 12:16:00,Jun 2019,2018-01-19,Transfer,Dog,Spayed Female,525,Labrador Retriever/Pointer,Black,1,365.0,Fixed
A720576,Rustler,2016-10-04 11:31:00,Oct 2016,2013-02-12,Return to Owner,Dog,Neutered Male,1330,American Staffordshire Terrier Mix,Brown Brindle/White,3,365.0,Fixed
A706999,Princess,2015-07-10 18:22:00,Jul 2015,2011-07-06,Return to Owner,Dog,Spayed Female,1465,Australian Cattle Dog Mix,White/Tan,4,365.0,Fixed
A739790,*Jackie,2016-12-28 18:15:00,Dec 2016,2015-12-07,Adoption,Dog,Spayed Female,387,Catahoula Mix,Brown Merle,1,365.0,Fixed
A707462,Abby,2017-04-08 18:42:00,Apr 2017,2015-02-13,Adoption,Dog,Spayed Female,785,Labrador Retriever/Labrador Retriever,Black/White,2,365.0,Fixed
A702725,Allie,2015-05-27 18:03:00,May 2015,2015-02-23,Adoption,Dog,Intact Female,93,Wire Hair Fox Terrier Mix,Brown/Black,3,30.0,Intact
A674935,Cesar,2014-03-24 17:24:00,Mar 2014,2012-03-20,Adoption,Dog,Neutered Male,734,Pug Mix,Tan/Black,2,365.0,Fixed
A808351,Smokey,2019-11-09 14:17:00,Nov 2019,2017-11-07,Return to Owner,Dog,Intact Male,732,Weimaraner,Brown Merle,2,365.0,Intact
A808188,*Orbit,2019-12-03 12:16:00,Dec 2019,2018-11-05,Transfer,Dog,Intact Male,393,Greater Swiss Mountain Dog/Pointer,Black/Tricolor,1,365.0,Intact
A698941,Morgan,2015-05-07 17:19:00,May 2015,2014-12-20,Return to Owner,Cat,Neutered Male,138,Siamese Mix,Lynx Point,4,30.0,Fixed
A790127,*Giselle,2019-05-14 15:28:00,May 2019,2017-03-05,Adoption,Cat,Spayed Female,800,Domestic Medium Hair Mix,White,2,365.0,Fixed
A623219,Bear,2015-05-20 13:28:00,May 2015,2011-10-01,Return to Owner,Dog,Neutered Male,1327,Pit Bull Mix,Blue Tiger/White,3,365.0,Fixed
A839989,A839989,2021-08-04 17:39:00,Aug 2021,2020-07-30,Adoption,Dog,Neutered Male,370,Chihuahua Shorthair Mix,White/Brown,1,365.0,Fixed
A741209,*Girly,2016-12-29 19:52:00,Dec 2016,2015-12-29,Return to Owner,Dog,Intact Female,366,Pit Bull Mix,White,1,365.0,Intact
A739178,Charlie,2016-11-30 11:27:00,Nov 2016,2005-11-30,Return to Owner,Dog,Neutered Male,4018,Miniature Poodle,Gray,11,365.0,Fixed
A730944,King,2016-07-14 18:38:00,Jul 2016,2015-12-14,Return to Owner,Dog,Intact Male,213,Pit Bull Mix,Fawn,7,30.0,Intact
A717042,*Cupcake,2015-12-06 12:02:00,Dec 2015,2015-11-16,Transfer,Cat,Intact Male,20,Domestic Shorthair Mix,Cream Tabby,2,7.0,Intact
A718488,Yaira,2016-01-10 16:58:00,Jan 2016,2014-12-31,Return to Owner,Cat,Spayed Female,375,Domestic Shorthair Mix,Brown Tabby/White,1,365.0,Fixed
A823991,*Pumpkin,2020-11-03 12:28:00,Nov 2020,2018-10-03,Transfer,Dog,Neutered Male,762,Labrador Retriever/Siberian Husky,Tan,2,365.0,Fixed
A842029,A842029,2021-09-13 17:29:00,Sep 2021,2021-07-16,Adoption,Cat,Spayed Female,59,Domestic Shorthair Mix,Black,1,30.0,Fixed
A799870,Max,2019-07-26 19:17:00,Jul 2019,2017-07-13,Return to Owner,Dog,Intact Male,743,German Shepherd,Brown/Black,2,365.0,Intact
A830115,*Bruce Wayne,2021-04-04 12:20:00,Apr 2021,2019-03-02,Adoption,Dog,Neutered Male,764,Pit Bull Mix,Black/White,2,365.0,Fixed
A681958,*Nelda,2014-07-12 11:21:00,Jul 2014,2014-05-15,Adoption,Cat,Spayed Female,58,Domestic Shorthair Mix,Black/White,1,30.0,Fixed
A756388,Kodak,2017-08-19 12:08:00,Aug 2017,2009-03-18,Adoption,Dog,Neutered Male,3076,Siberian Husky Mix,Black/White,8,365.0,Fixed
A731009,*Allie,2016-08-10 14:29:00,Aug 2016,2016-04-05,Adoption,Cat,Spayed Female,127,Domestic Longhair Mix,Black,4,30.0,Fixed
A760943,Olive,2017-10-30 18:06:00,Oct 2017,2015-10-26,Adoption,Dog,Spayed Female,735,Chihuahua Shorthair Mix,Cream/White,2,365.0,Fixed
A704997,*Delilah,2015-06-19 16:59:00,Jun 2015,2015-02-24,Adoption,Dog,Spayed Female,115,Australian Cattle Dog Mix,White/Brown,3,30.0,Fixed
A812125,Ceri,2020-01-18 18:02:00,Jan 2020,2019-01-16,Adoption,Dog,Spayed Female,367,Anatol Shepherd,Brown,1,365.0,Fixed
A737235,*Arlis,2016-10-30 19:01:00,Oct 2016,2016-08-24,Adoption,Cat,Neutered Male,67,Domestic Shorthair Mix,Blue,2,30.0,Fixed
A729661,Dana,2016-06-21 19:02:00,Jun 2016,2012-10-21,Return to Owner,Cat,Spayed Female,1339,Domestic Shorthair Mix,Brown Tabby,3,365.0,Fixed
A724506,*Bingo*,2016-04-22 00:00:00,Apr 2016,2011-04-18,Adoption,Dog,Neutered Male,1831,Miniature Poodle/Maltese,Gray,5,365.0,Fixed
A761425,*Sassy,2018-03-08 12:10:00,Mar 2018,2017-10-04,Missing,Cat,Intact Female,155,Domestic Medium Hair Mix,Blue/White,5,30.0,Intact
A799577,*Danny,2019-07-16 13:25:00,Jul 2019,2019-04-10,Adoption,Dog,Neutered Male,97,Rat Terrier,Brown/Tan,3,30.0,Fixed
A756306,Macy,2017-08-18 12:58:00,Aug 2017,2017-06-12,Transfer,Cat,Intact Female,67,Domestic Shorthair Mix,Brown Tabby,2,30.0,Intact
